Experiment,Method,Threads,Ticker,Iterations,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
1,Sequential,1,AAPL,10000,AAPL,311.046438272613,71.27253314240073,29.824468060823495,309.64949662302195,312.44337992220403,1.2939867973327637,5.34765625,2.9
1,Sequential,1,MSFT,10000,MSFT,515.5885249083389,101.53868499002111,19.631656170869313,513.5983666825344,517.5786831341433,0.6904771327972412,0.29296875,0.6
1,Sequential,1,GOOGL,10000,GOOGL,236.84299579650275,63.95239727994568,38.10892075920062,235.58952880981582,238.09646278318968,0.6513373851776123,0.2578125,1.5
1,Parallel,1,AAPL,10000,AAPL,312.8035602929446,70.91541419215437,30.55785511670607,311.4136181747784,314.19350241111084,1.538421392440796,1.4375,11.514285714285714
1,Parallel,1,MSFT,10000,MSFT,518.6619581736717,101.60380934609415,20.344782809457275,516.6705235104882,520.6533928368551,1.7562077045440674,0.05859375,16.8125
1,Parallel,1,GOOGL,10000,GOOGL,236.3821294495313,64.76571445117973,37.840178364770054,235.1127214462882,237.65153745277442,1.546790599822998,0.01171875,8.585714285714285
1,Parallel,2,AAPL,10000,AAPL,311.9895040331406,70.86384093768226,30.218084561905446,310.600572750762,313.37843531551914,1.7472598552703857,0.00390625,15.55
1,Parallel,2,MSFT,10000,MSFT,517.8151935252827,101.26169978621355,20.148308581696426,515.8304642094729,519.7999228410924,1.7489266395568848,0.02734375,9.55
1,Parallel,2,GOOGL,10000,GOOGL,236.8025308839851,65.29754869986562,38.08532468291543,235.52269892946774,238.08236283850246,1.7492363452911377,0.01953125,11.625
1,Parallel,4,AAPL,10000,AAPL,312.6599940231802,71.3183122026482,30.49793347057777,311.2621551040083,314.05783294235215,1.9754259586334229,0.0234375,21.01111111111111
1,Parallel,4,MSFT,10000,MSFT,515.2961285609979,100.3467328385873,19.56381164446731,513.3293325973616,517.2629245246342,1.9689357280731201,0.015625,20.266666666666666
1,Parallel,4,GOOGL,10000,GOOGL,236.13912216379316,63.96250815883384,37.69847489637298,234.88545700388002,237.3927873237063,1.9712481498718262,0.00390625,18.01111111111111
1,Sequential,1,AAPL,110000,AAPL,312.08255147218205,70.82833305762544,30.25692067378979,311.66398277186767,312.5011201724964,5.096267223358154,3.66796875,0.6
1,Sequential,1,MSFT,110000,MSFT,516.6521028204647,101.64435246377974,19.878437433344065,516.0514230830149,517.2527825579145,5.221783638000488,2.7890625,1.6
1,Sequential,1,GOOGL,110000,GOOGL,236.69814194272615,64.68982128147886,38.024452948169866,236.3158495288227,237.0804343566296,5.218380451202393,2.671875,13.6
1,Parallel,1,AAPL,110000,AAPL,312.5776533491417,70.89359359447872,30.46356614502283,312.15869898369994,312.9966077145835,1.9668118953704834,1.81640625,11.155555555555557
1,Parallel,1,MSFT,110000,MSFT,516.5984103470755,101.40172737841756,19.865979205115256,515.9991644322538,517.1976562618972,1.9808483123779297,0.01953125,10.733333333333333
1,Parallel,1,GOOGL,110000,GOOGL,235.89130469753678,64.26558937495943,37.5539664945313,235.51151933399126,236.2710900610823,1.974043607711792,0.0,10.211111111111112
1,Parallel,2,AAPL,110000,AAPL,312.52056966222483,70.9955628633129,30.439740573091868,312.10101269691256,312.9401266275371,1.96482253074646,-0.39453125,12.322222222222223
1,Parallel,2,MSFT,110000,MSFT,516.3859842656585,101.56137139435164,19.816690125343122,515.7857949149916,516.9861736163255,1.979377031326294,0.01953125,13.211111111111112
